ticker          	 name                           	 price           	 volume          	 time                                     	 
RMD             	 Rf Micro Devices               	 13              	 39793070        	 2014-03-28 22:50:12.739119               	 
FSS             	 Finisart                       	 14              	 93790734        	 2014-03-28 22:50:12.739119               	 
JAS             	 Jetblue Airways                	 15              	 89650673        	 2014-03-28 22:50:12.739119               	 
MAR             	 Marvell                        	 16              	 35859741        	 2014-03-28 22:50:12.739119               	 
NVA             	 Novavax                        	 17              	 31659194        	 2014-03-28 22:50:12.739119               	 
SKS             	 Skyworks Solutions             	 18              	 79722161        	 2014-03-28 22:50:12.739119               	 
XZ              	 Xilinx                         	 19              	 18934159        	 2014-03-28 22:50:12.739119               	 
MYL             	 Mylan Inc.                     	 20              	 11479405        	 2014-03-28 22:50:12.739119               	 
LGG             	 Liberty Global                 	 21              	 60940266        	 2014-03-28 22:50:12.739119               	 
BAI             	 Baidu                          	 22              	 76211333        	 2014-03-28 22:50:12.739119               	 
HNH             	 Nii Holdings                   	 23              	 192008          	 2014-03-28 22:50:12.739119               	 
AKA             	 Akamai                         	 15              	 809527          	 2014-03-28 22:50:12.739119               	 
CRQ             	 Cache                          	 13              	 64265185        	 2014-03-28 22:50:12.739119               	 
CDSS            	 Cadence Design Systems         	 90              	 7203040         	 2014-03-28 22:50:12.739119               	 
CFFS            	 Cadence Financial              	 89              	 27078284        	 2014-03-28 22:50:12.739119               	 
CMAE            	 Cal-maine Foods                	 78              	 52438450        	 2014-03-28 22:50:12.739119               	 
CFSA,           	 Central Federal                	 57              	 74560831        	 2014-03-28 22:50:12.739119               	 
CAV             	 Calamp                         	 46              	 90297929        	 2014-03-28 22:50:12.739119               	 
CRD             	 Crayola                        	 11              	 11940627        	 2014-03-28 22:50:12.739119               	 
CIWW            	 Champion Industries            	 35              	 16373120        	 2014-03-28 22:50:12.739119               	 
CWW             	 Chalone Wine                   	 34              	 73026922        	 2014-03-28 22:50:12.739119               	 
CV              	 Cheviot                        	 26              	 24433129        	 2014-03-28 22:50:12.739119               	 
CII             	 Cherokee Inc.                  	 25              	 48417575        	 2014-03-28 22:50:12.739119               	 
CI              	 Chart Industries               	 24              	 21647908        	 2014-03-28 22:50:12.739119               	 
CCM             	 Charter Communications         	 65              	 51993341        	 2014-03-28 22:50:12.739119               	 
CPS             	 China Precision Steel          	 54              	 48212774        	 2014-03-28 22:50:12.739119               	 
CET             	 Ce Franklin Ltd.               	 30              	 52833148        	 2014-03-28 22:50:12.739119               	 
CR              	 Carrols Restaurant Grp.        	 49              	 69275265        	 2014-03-28 22:50:12.739119               	 
CTE             	 Capstone Turbine               	 69              	 93770339        	 2014-03-28 22:50:12.739119               	 
CMT             	 Cascade Microtech              	 61              	 60035443        	 2014-03-28 22:50:12.739119               	 
CBS             	 Capitalsouth Bancorp           	 36              	 26849785        	 2014-03-28 22:50:12.739119               	 
CCB             	 Capital City Bank              	 14              	 87809600        	 2014-03-28 22:50:12.739119               	 
CA              	 Candela                        	 26              	 1802489         	 2014-03-28 22:50:12.739119               	 
CT.             	 Camtek                         	 86              	 96773682        	 2014-03-28 22:50:12.739119               	 
CMRS            	 Casual Male Retail             	 67              	 75342882        	 2014-04-02 13:49:28.289381               	 
AS              	 null                           	 10              	 null            	 1993-10-04 10:32:32                      	 
WS              	 null                           	 30              	 null            	 1991-10-04 10:32:32                      	 
MSFT            	 microsoft                      	 26              	 100000          	 2014-03-28 22:50:12.739119               	 
AAPL            	 apple                          	 531.26          	 10320000        	 2014-03-28 22:50:12.739119               	 
TSLA            	 tesla                          	 60              	 10012000        	 2014-03-28 22:50:12.739119               	 
MS              	 morgan stanley                 	 10              	 12200000        	 1996-10-04 10:32:32                      	 
GS              	 goldman sachs                  	 20              	 10000770        	 1992-01-04 10:32:32                      	 
JPM             	 JP Morgan null                 	 30              	 10066000        	 2014-03-28 22:50:12.739119               	 
GPS             	 GAP                            	 15              	 1000050         	 2014-03-28 22:50:12.739119               	 
BAC             	 Bank of America                	 17.44           	 1040000         	 2014-03-28 22:50:12.739119               	 
ORCL            	 Oracle                         	 38.55           	 1000070         	 2014-03-28 22:50:12.739119               	 
FB              	 Facebook                       	 40.44           	 1040000         	 2014-03-28 22:50:12.739119               	 
GE              	 General Electric               	 34.55           	 1000070         	 2014-03-28 22:50:12.739119               	 
GM              	 General Motors                 	 25.28           	 1040000         	 2014-03-28 22:50:12.739119               	 
F               	 Ford Motors                    	 15.48           	 1000070         	 2014-03-28 22:50:12.739119               	 
BB              	 BB                             	 31.33           	 0               	 2002-08-01 03:21:21                      	 
